Puzzle,Category,Date,Episode_Number,Round
WORLDWIDE BOX OFFICE SMASH,Show Biz,2/19/14,#5963,R1
BEACH HOUSE OF CARDS,Before & After,2/19/14,#5963,R2
THIS STUFF NEVER HAPPENS TO ME,Phrase,2/19/14,#5963,R3*
SILENT PARTNER,Person,2/19/14,#5963,T3
GOING FOR BROKE,What Are You Doing?,2/19/14,#5963,R4
BALTIMORE MARYLAND,On the Map,2/19/14,#5963,R5
LOCKER KEY,Thing,2/19/14,#5963,BR
FRONT ROW CENTER,Place,2/20/14,#5964,T1
HOLY MOLY!,Rhyme Time,2/20/14,#5964,T2
MAJOR SCIENTIFIC BREAKTHROUGH,Event,2/20/14,#5964,R1
PEKING DUCK DUCK GOOSE,Before & After,2/20/14,#5964,R2
BEAUTIFUL FRESH FLOWER LEIS,Things,2/20/14,#5964,R3*
THE ROYAL FAMILY,People,2/20/14,#5964,T3
MARKETING SPECIALIST,Occupation,2/20/14,#5964,R4
GOBBLED UP,Phrase,2/20/14,#5964,BR
CHAMPAGNE BRUNCH,Event,2/21/14,#5965,T1
CAPTAIN KIRK,Character,2/21/14,#5965,T2
PERFECT OPPORTUNITY,Thing,2/21/14,#5965,R1
PRICE TAG YOU'RE IT,Before & After,2/21/14,#5965,R2
AN EMBARRASSMENT OF RICHES,Phrase,2/21/14,#5965,R3*
MURAL PAINTER,Person,2/21/14,#5965,T3
UPSCALE NEIGHBORHOOD,Place,2/21/14,#5965,R4
JUNCTION,Thing,2/21/14,#5965,BR
MINERAL SPRINGS,Things,2/24/14,#5966,T1
I'M IN THE ZONE,Phrase,2/24/14,#5966,T2
WE WILL WE WILL ROCK YOU,Song Lyrics,2/24/14,#5966,R1
MONKEY BUSINESS CONFERENCE,Before & After,2/24/14,#5966,R2
SOOTHING SERENE SETTING,Same Letter,2/24/14,#5966,R3*
BUTTERSCOTCH COOKIES,Food & Drink,2/24/14,#5966,T3
MOVERS AND SHAKERS,People,2/24/14,#5966,R4
PLANTING FLOWERS,What Are You Doing?,2/24/14,#5966,R5
BODY OF WORK,Thing,2/24/14,#5966,BR
HAPPY AND HEALTHY,Phrase,2/25/14,#5967,T1
VEGETABLE JUICE,Food & Drink,2/25/14,#5967,T2
THE SECRET LIFE OF WALTER MITTY,Title,2/25/14,#5967,R1
POPSICLE STICK SHIFT,Before & After,2/25/14,#5967,R2
BALCONY OVERLOOKING THE BEACH,Place,2/25/14,#5967,R3*
THE EYE OF THE TIGER,The 80's,2/25/14,#5967,T3
THOUGHTFULNESS,Thing,2/25/14,#5967,R4
I'VE GOT HIGH HOPES,Phrase,2/25/14,#5967,BR
HOT STONE MASSAGE,Event,2/26/14,#5968,T1
MOVIE STUNTMAN,Show Biz,2/26/14,#5968,T2
WRINKLE CREAM OF WHEAT,Before & After,2/26/14,#5968,R1
STRESS-RELIEVING WHIRLPOOL,Thing,2/26/14,#5968,R2
THIS IS THE BEST GAME EVER!,Phrase,2/26/14,#5968,R3*
BATH TOWELS,Around the House,2/26/14,#5968,T3
WATER AEROBICS,Fun & Games,2/26/14,#5968,R4
NORTH CAROLINA,On the Map,2/26/14,#5968,R5
VISUAL EFFECTS,Things,2/26/14,#5968,BR
SITTING IN THE SAUNA,What Are You Doing?,2/27/14,#5969,T1
EXPENSE REPORT,Thing,2/27/14,#5969,T2
YOU CAUGHT ME BY SURPRISE,Phrase,2/27/14,#5969,R1
UNIVERSITY MARCHING BAND-AID,Before & After,2/27/14,#5969,R2
PINEAPPLE FRUIT BOWL,Food & Drink,2/27/14,#5969,R3*
MERMAIDS AND MERMEN,Characters,2/27/14,#5969,T3
DOUBLES PARTNERS,People,2/27/14,#5969,R4
COMPANY POLICY,Thing,2/27/14,#5969,BR
PEPPERMINT TEA,Food & Drink,2/28/14,#5970,T1
REFUSE TO LOSE,Rhyme Time,2/28/14,#5970,T2
HERE COMES THE WELCOME WAGON,Phrase,2/28/14,#5970,R1
NO RIGHT TURN ON RED APPLES,Before & After,2/28/14,#5970,R2
WORLD-CLASS HOSPITALITY,Thing,2/28/14,#5970,R3*
DAWSON'S CREEK,The 90's,2/28/14,#5970,T3
SILLY SONG LYRICS,Show Biz,2/28/14,#5970,R4
HOMEWARD BOUND,Phrase,2/28/14,#5970,BR
ROME WASN'T BUILT IN A DAY,Quotation,3/3/14,#5971,T1
LAVA LAMP,Around the House,3/3/14,#5971,T2
ENGLISH CHANNEL SURFING,Before & After,3/3/14,#5971,R1
BUSBOYS BARTENDERS & BOUNCERS,Same Letter,3/3/14,#5971,R2
FEAST YOUR EYES ON THIS,Phrase,3/3/14,#5971,R3*
GUILTY PLEASURE,Thing,3/3/14,#5971,T3
JUMPING AT THE CHANCE,What Are You Doing?,3/3/14,#5971,R4
BOX OF BAKING SODA,Thing,3/3/14,#5971,BR
MIDNIGHT IN PARIS,Movie Title,3/4/14,#5972,T1
FAITHFUL FANS,People,3/4/14,#5972,T2
WAKE ME UP BEFORE YOU GO-GO,The 80's,3/4/14,#5972,R1
BOWLING PINS AND NEEDLES,Before & After,3/4/14,#5972,R2
THE YEAR OF THE HORSE,Event,3/4/14,#5972,R3*
CAREER COUNSELOR,Occupation,3/4/14,#5972,T3
INVESTMENT TIPS,Thing,3/4/14,#5972,R4
SCENIC OVERLOOK,Place,3/4/14,#5972,R5
WINDOW-SHOPPING,What Are You Doing?,3/4/14,#5972,BR
THE UNITED KINGDOM,On the Map,3/5/14,#5973,T1
RHYTHM GUITAR,Show Biz,3/5/14,#5973,T2
LIKE A MEMBER OF THE FAMILY FEUD,Before & After,3/5/14,#5973,R1
GERMAN POTATO SALAD,Food & Drink,3/5/14,#5973,R2
ZIP-LINING THROUGH THE JUNGLE,Fun & Games,3/5/14,#5973,R3*
SUNKEN TREASURE,Thing,3/5/14,#5973,T3
RIGHT UP YOUR ALLEY,Phrase,3/5/14,#5973,R4
OPEN VAULT,Thing,3/5/14,#5973,BR
THE CZECH REPUBLIC,On the Map,3/6/14,#5974,T1
SOLVING RIDDLES,Fun & Games,3/6/14,#5974,T2
DRIVERS START YOUR ENGINES,Quotation,3/6/14,#5974,R1
ONE-WAY STREET PERFORMER,Before & After,3/6/14,#5974,R2
JAW-DROPPING ICE FORMATIONS,Things,3/6/14,#5974,R3*
CIRCUS BIG TOP,Place,3/6/14,#5974,T3
GAME SET AND MATCH,Phrase,3/6/14,#5974,R4
PAINTED TURTLE,Living Thing,3/6/14,#5974,R5
SOMEWHAT OF A SURPRISE,Phrase,3/6/14,#5974,BR
TRAVEL AGENCY,Place,3/7/14,#5975,T1
HALL OF FAMER,Person,3/7/14,#5975,T2
AUDITIONING FOR THE LEAD ROLE,Show Biz,3/7/14,#5975,R1
SCOTLAND YARD SALE,Before & After,3/7/14,#5975,R2
HISTORIC CHARM AND ELEGANCE,Things,3/7/14,#5975,R3*
IT TAKES TWO TO TANGO,Phrase,3/7/14,#5975,T3
STUFFED PASTA SHELLS,Food & Drink,3/7/14,#5975,R4
POWER BROKER,Person,3/7/14,#5975,BR
THE WHOLE FAMILY,People,3/10/14,#5976,T1
CHEESE DANISH,Food & Drink,3/10/14,#5976,T2
ONE OF OUR FAVORITE PLAYLISTS,Thing,3/10/14,#5976,R1
LONG LIVE THE KING-SIZE BED,Before & After,3/10/14,#5976,R2
THE PINNACLE OF LUXURY,Phrase,3/10/14,#5976,R3*
RAPTURE BY BLONDIE,The 80's,3/10/14,#5976,T3
TESTING THE WATERS,What Are You Doing?,3/10/14,#5976,R4
WOVEN HANDBAG,Thing,3/10/14,#5976,BR
CHERISHED MEMORIES,Things,3/11/14,#5977,T1
SOURDOUGH BREAD,Food & Drink,3/11/14,#5977,T2
ONCE TWICE THREE TIMES A LADY,Song Lyrics,3/11/14,#5977,R1
CLEVER CROSSWORD CLUES,Same Letter,3/11/14,#5977,R2
THE ULTIMATE IN TRANQUILITY,Phrase,3/11/14,#5977,R3*
A SCHOOL OF FISH,Living Things,3/11/14,#5977,T3
ROW ROW ROW YOUR BOAT,Quotation,3/11/14,#5977,R4
MOVIE SOUNDTRACK,Show Biz,3/11/14,#5977,R5
HOT PROSPECT,Thing,3/11/14,#5977,BR
CAMEO APPEARANCE,Show Biz,3/12/14,#5978,T1
OLDER BROTHER,Person,3/12/14,#5978,T2
DO YOU KNOW THE MUFFIN MAN?,Quotation,3/12/14,#5978,R1
SWEET & SOUR CHICKEN LITTLE,Before & After,3/12/14,#5978,R2
TANTALIZING BUFFET,Thing,3/12/14,#5978,R3*
ELECTRIC CAN OPENER,In the Kitchen,3/12/14,#5978,T3
DOUBLE SHOT MOCHA LATTE,Food & Drink,3/12/14,#5978,R4
A NUGGET OF INFORMATION,Thing,3/12/14,#5978,BR
SPLENDID SUITES,Places,3/13/14,#5979,T1
AMERICAN GLADIATORS,The 90's,3/13/14,#5979,T2
SCREENWRITERS & SCREENPLAYS,Show Biz,3/13/14,#5979,R1
PEACHES PLUMS & PRICKLY PEARS,Same Letter,3/13/14,#5979,R2
CASUAL BY DAY ELEGANT BY NIGHT,Phrase,3/13/14,#5979,R3*
HITS AND MISSES,Things,3/13/14,#5979,T3
LAUGHING HYSTERICALLY,What Are You Doing?,3/13/14,#5979,R4
FRESH APPROACH,Phrase,3/13/14,#5979,BR
MY SWEETHEART,Person,3/14/14,#5980,T1
CARTOON NETWORK,TV Title,3/14/14,#5980,T2
TRY TO BRING IT BACK IN ONE PIECE,Phrase,3/14/14,#5980,R1
TO HAVE AND TO HOLD A GRUDGE,Before & After,3/14/14,#5980,R2
TERRIFIC STEEL DRUM MUSIC,Show Biz,3/14/14,#5980,R3*
ROBERT REDFORD,Proper Name,3/14/14,#5980,T3
CONSTRUCTION PAPER,Around the House,3/14/14,#5980,R4
BACKPACKING,What Are You Doing?,3/14/14,#5980,BR
DISTRICT OF COLUMBIA,On the Map,3/17/14,#5981,T1
CRYSTAL CHANDELIER,Around the House,3/17/14,#5981,T2
RECOMMENDED DAILY SERVINGS,Thing,3/17/14,#5981,R1
CATCH A FALLING STAR TREK,Before & After,3/17/14,#5981,R2
TELL ME WHERE I'M GOING PAT,Phrase,3/17/14,#5981,R3*
DOOGIE HOWSER M.D.,The 90's,3/17/14,#5981,T3
LAST MAN STANDING,Person,3/17/14,#5981,R4
TURNPIKE TOLLBOOTH,Place,3/17/14,#5981,R5
CHOPPED FIREWOOD,Thing,3/17/14,#5981,BR
LOS ANGELES CALIFORNIA,On the Map,3/18/14,#5982,T1
THE BREAKFAST CLUB,The 80's,3/18/14,#5982,T2
SUPREME COURT JUSTICE,Person,3/18/14,#5982,R1
MADISON SQUARE GARDEN VEGETABLES,Before & After,3/18/14,#5982,R2
THE VIEW IS SIMPLY AMAZING,Phrase,3/18/14,#5982,R3*
STRIKES AND SPARES,Fun & Games,3/18/14,#5982,T3
IT'S A BEAUTIFUL DAY,Song Lyrics,3/18/14,#5982,R4
EVOLVING,What Are You Doing?,3/18/14,#5982,BR
PHOENIX ARIZONA,On the Map,3/19/14,#5983,T1
PLAYING BOARD GAMES,What Are You Doing?,3/19/14,#5983,T2
WHO WANTS TO BE A MILLIONAIRE,TV Title,3/19/14,#5983,R1
THE PITTER-PATTER OF LITTLE FEET,Thing,3/19/14,#5983,R2
ROOFTOP INFINITY POOL,Place,3/19/14,#5983,R3*
GRANDFATHER CLOCK,Around the House,3/19/14,#5983,T3
SOUNDS A BIT IFFY,Phrase,3/19/14,#5983,R4
ANNUAL COMPANY,Event,3/19/14,#5983,R5
NEW BABY BUGGY,Thing,3/19/14,#5983,BR
TEXTING A SMILEY FACE,Fun & Games,3/20/14,#5984,T1
HOLLYWOOD AND VINE,On the Map,3/20/14,#5984,T2
YOU GIVE ME FEVER WHEN YOU KISS ME,Song Lyrics,3/20/14,#5984,R1
TELEVISION MINISERIES LONESOME DOVE,The 80's,3/20/14,#5984,R2
LEAVING FOOTPRINTS IN THE SAND,What Are You Doing?,3/20/14,#5984,R3*
BISCUITS AND GRAVY,Food & Drink,3/20/14,#5984,T3
BEHIND CLOSED DOORS,Phrase,3/20/14,#5984,R4
GROUNDBREAKING WORK,Thing,3/20/14,#5984,BR
GOOD MORNING AMERICA,TV Title,3/21/14,#5985,T1
MONUMENT VALLEY,Landmark,3/21/14,#5985,T2
SITTING ON THE FRONT PORCH,What Are You Doing?,3/21/14,#5985,R1
FLORIDA AND CAR KEYS,Same Name,3/21/14,#5985,R2
EVERY DAY FEELS LIKE SATURDAY,Phrase,3/21/14,#5985,R3*
FATHERHOOD,Thing,3/21/14,#5985,T3
ENTHUSIASTIC SUPPORTERS,People,3/21/14,#5985,R4
FINAL COUNTDOWN,Thing,3/21/14,#5985,BR
CHICK FLICK,Rhyme Time,3/24/14,#5986,T1
LIFEGUARD STATION,Place,3/24/14,#5986,T2
HOORAY FOR HAPPY HOUR,Phrase,3/24/14,#5986,R1
MILD MEDIUM AND HOT SALSA DANCING,Before & After,3/24/14,#5986,R2
MANICURES PEDICURES & FACIALS,Things,3/24/14,#5986,R3*
CYNDI LAUPER,Proper Name,3/24/14,#5986,T3
BORROWING YOUR SWEATER,What Are You Doing?,3/24/14,#5986,R4
COMPLIMENTARY UPGRADE,Thing,3/24/14,#5986,BR
MALIBU BARBIE,Character,3/25/14,#5987,T1
SUNDAY FUN DAY,Rhyme Time,3/25/14,#5987,T2
SHE'S MY PARTNER IN CRIME,Phrase,3/25/14,#5987,R1
PLAYING THE RADIO AS LOUD AS WE WANT,What Are You Doing?,3/25/14,#5987,R2
LEGENDARY WAVES OF THE NORTH SHORE,Things,3/25/14,#5987,R3*
CLASS REUNION,Event,3/25/14,#5987,T3
BREAKFAST AT TIFFANY'S,Title,3/25/14,#5987,R4
BACKPEDALING,What Are You Doing?,3/25/14,#5987,BR
WHAT TO WEAR?,Phrase,3/26/14,#5988,T1
COLLEGE ROOMMATES,People,3/26/14,#5988,T2
STOMACH CRUNCH THE NUMBERS,Before & After,3/26/14,#5988,R1
MAKEOVER AND MAKEUP CONSULTATION,Event,3/26/14,#5988,R2
SLIPPING OFF MY FLIP-FLOPS,What Are You Doing?,3/26/14,#5988,R3*
GAL PAL,Rhyme Time,3/26/14,#5988,T3
MISS CONGENIALITY,Movie Title,3/26/14,#5988,R4
TAKING FLIGHT,Event,3/26/14,#5988,BR
FACEBOOK FRIENDS,People,3/27/14,#5989,T1
BEAUTY PARLOR,Place,3/27/14,#5989,T2
HE'S JUST NOT THAT INTO YOU,Title,3/27/14,#5989,R1
PURE AS THE DRIVEN SNOW WHITE,Before & After,3/27/14,#5989,R2
HAWAII'S FAMOUS DIAMOND HEAD,Landmark,3/27/14,#5989,R3*
SARAH JESSICA PARKER,Proper Name,3/27/14,#5989,T3
SLUMBER PARTY,Event,3/27/14,#5989,R4
JACUZZI BUBBLES,Things,3/27/14,#5989,BR
GIRL'S NIGHT OUT,Event,3/28/14,#5990,T1
ORDERING APPETIZERS,What Are You Doing?,3/28/14,#5990,T2
NOBODY PUTS BABY IN THE CORNER,Movie Quote,3/28/14,#5990,R1
FANTASTIC FUN-FILLED FRIDAYS,Same Letter,3/28/14,#5990,R2
THE ISLAND OF ENCHANTMENT,Place,3/28/14,#5990,R3*
SIXTEEN CANDLES,The 80's,3/28/14,#5990,T3
CAN YOU KEEP A SECRET?,Phrase,3/28/14,#5990,R4
BUSINESS SAVVY,Thing,3/28/14,#5990,BR
THE SKY'S THE LIMIT,Phrase,3/31/14,#5991,T1
LUCKY PENNY,Thing,3/31/14,#5991,T2
THE ALAMO IN SAN ANTONIO TEXAS,Landmark,3/31/14,#5991,R1
BOWLING TROPHY WIFE,Before & After,3/31/14,#5991,R2
RACING DOWN THE WATER SLIDE,Fun & Games,3/31/14,#5991,R3*
CHEESE GRATER,In the Kitchen,3/31/14,#5991,T3
PUTTING AIR IN THE TIRES,What Are You Doing?,3/31/14,#5991,R4
A BRIEF EXPLANATION,Thing,3/31/14,#5991,BR
FROM COAST TO COAST,Phrase,4/1/14,#5992,T1
THE LATEST AND GREATEST,Rhyme Time,4/1/14,#5992,T2
THE SUNSET STRIP OF BACON,Before & After,4/1/14,#5992,R1
WALKING THE FREEDOM TRAIL IN BOSTON,Fun & Games,4/1/14,#5992,R2
RAINBOW-COLORED CORAL REEF,Place,4/1/14,#5992,R3*
SEEING A MIRAGE,Event,4/1/14,#5992,T3
RECREATIONAL VEHICLE,Thing,4/1/14,#5992,R4
WORKS WONDERS,Phrase,4/1/14,#5992,BR
SNACKS FOR THE CAR,Food & Drink,4/2/14,#5993,T1
MILEAGE MAY VARY,Phrase,4/2/14,#5993,T2
CROSSING THE GOLDEN GATE BRIDGE,Event,4/2/14,#5993,R1
SUBWAY PLATFORM SHOES,Before & After,4/2/14,#5993,R2
SWIMMING WITH DOLPHINS,Fun & Games,4/2/14,#5993,R3*
STOPPING FOR GAS,What Are You Doing?,4/2/14,#5993,T3
MAGICAL MYSTERY TOUR,Title,4/2/14,#5993,R4
OPTICIAN,Occupation,4/2/14,#5993,BR
ROAD TRIPPING,Fun & Games,4/3/14,#5994,T1
REESE WITHERSPOON,Proper Name,4/3/14,#5994,T2
VISITING ALL FIFTY STATES,What Are You Doing?,4/3/14,#5994,R1
WOULD YOU MIND OVER MATTER,Before & After,4/3/14,#5994,R2
LAVA HEADING TOWARD THE OCEAN,Thing,4/3/14,#5994,R3*
A WALK IN THE PARK,Phrase,4/3/14,#5994,T3
COBBLESTONE STREET,Place,4/3/14,#5994,R4
PSYCHOLOGY,Thing,4/3/14,#5994,BR
MOUNTAIN LODGE,Place,4/4/14,#5995,T1
DANCE PARTNERS,People,4/4/14,#5995,T2
HIGHWAYS FREEWAYS & INTERSTATES,Things,4/4/14,#5995,R1
SOME LIKE IT HOT PASTRAMI SANDWICH,Before & After,4/4/14,#5995,R2
YOU HAVE TO SEE IT TO BELIEVE IT,Phrase,4/4/14,#5995,R3*
MINIATURE GOLF,Fun & Games,4/4/14,#5995,T3
ASKING FOR DIRECTIONS,What Are You Doing?,4/4/14,#5995,R4
BIRTHDAY BASH,Event,4/4/14,#5995,R5
BLOG POST,Thing,4/4/14,#5995,BR
THE BEST TIME OF YOUR LIFE,Phrase,4/7/14,#5996,T1
PROFESSOR'S OFFICE HOURS,College Life,4/7/14,#5996,T2
HUMPTY DUMPTY HAD A GREAT FALL SEMESTER,Before & After,4/7/14,#5996,R1
OF MICE AND MEN BY JOHN STEINBECK,Title/Author,4/7/14,#5996,R2
ORDERING BEVERAGES POOLSIDE,What Are You Doing?,4/7/14,#5996,R3*
ROLLER DERBY,Fun & Games,4/7/14,#5996,T3
ELECTRIC TOOTHBRUSH,Around the House,4/7/14,#5996,R4
OVERACHIEVERS,People,4/7/14,#5996,BR
IT'S ALL GREEK TO ME,Quotation,4/8/14,#5997,T1
F. SCOTT FITZGERALD,Proper Name,4/8/14,#5997,T2
GRADE POINT AVERAGE,College Life,4/8/14,#5997,R1
THE MERCHANT OF VENICE BEACH,Before & After,4/8/14,#5997,R2
EMBARKING ON A VOYAGE,Event,4/8/14,#5997,R3*
MARCH MADNESS,Fun & Games,4/8/14,#5997,T3
SITTING ON A GOLD MINE,Phrase,4/8/14,#5997,R4
PUBLIC APOLOGY,Event,4/8/14,#5997,BR
UNIVERSITY BOOKSTORE,College Life,4/9/14,#5998,T1
FLEXING MY MUSCLES,What Are You Doing?,4/9/14,#5998,T2
STOP TEXTING ME I'M CRAMMING FOR FINALS,Phrase,4/9/14,#5998,R1
DORM AND ELBOW ROOM,Same Name,4/9/14,#5998,R2
REFRESHING COCONUT WATER,Food & Drink,4/9/14,#5998,R3*
REVENGE OF THE NERDS,The 80's,4/9/14,#5998,T3
ON-THE-JOB TRAINING,Thing,4/9/14,#5998,R4
NOUNS AND PRONOUNS,Things,4/9/14,#5998,BR
GRADUATE ASSISTANT,Person,4/10/14,#5999,T1
ROUGH AND TOUGH,Rhyme Time,4/10/14,#5999,T2
CLASHING CLANGING CYMBALS,Same Letter,4/10/14,#5999,R1
STUDY HALL OF FAME,Before & After,4/10/14,#5999,R2
I PROMISE TO CALL YOU WHEN I LAND,Phrase,4/10/14,#5999,R3*
HITTING THE GYM,What Are You Doing?,4/10/14,#5999,T3
THE LATEST TECHNOLOGY,Thing,4/10/14,#5999,R4
HAVING AN IMPACT,Phrase,4/10/14,#5999,BR
COURSE CATALOG,College Life,4/11/14,#6000,T1
TRENDING ON TWITTER,Phrase,4/11/14,#6000,T2
MYTHOLOGICAL HERO ACHILLES,Character,4/11/14,#6000,R1
SCIENCE PROJECT RUNWAY,Before & After,4/11/14,#6000,R2
THE WORLD'S FASTEST MAN,Person,4/11/14,#6000,R3*
EDGAR ALLAN POE,Proper Name,4/11/14,#6000,T3
ON-THE-SPOT DECISION,Thing,4/11/14,#6000,R4
TOP DRAFT PICK,Person,4/11/14,#6000,BR
THE BAHAMAS,On the Map,4/14/14,#6001,T1
STEAM SHOWER,Thing,4/14/14,#6001,T2
SEARCHING FOR BURIED TREASURE,What Are You Doing?,4/14/14,#6001,R1
DETAILED DRIVING DIRECTIONS,Same Letter,4/14/14,#6001,R2
AN EXTRAORDINARY EXPERIENCE,Event,4/14/14,#6001,R3*
CHOCOLATE CHIP SCONE,Food & Drink,4/14/14,#6001,T3
I THANK MY LUCKY STARS,Phrase,4/14/14,#6001,R4
WEALTHY WOMAN,Person,4/14/14,#6001,BR
MONTEGO BAY,On the Map,4/15/14,#6002,T1
A ROUND OF APPLAUSE,Thing,4/15/14,#6002,T2
SUPERSTITION BY STEVIE WONDER,Song/Artist,4/15/14,#6002,R1
NONSTOP FLIGHTS OF FANCY,Before & After,4/15/14,#6002,R2
I CAN'T WIPE THE SMILE OFF MY FACE,Phrase,4/15/14,#6002,R3*
PRETTY IN PINK,The 80's,4/15/14,#6002,T3
PLAYING SIMON SAYS,Fun & Games,4/15/14,#6002,R4
NEWBORN PUPPY,Living Thing,4/15/14,#6002,BR
THE CARIBBEAN SEA,On the Map,4/16/14,#6003,T1
BRAINS AND BRAWN,Things,4/16/14,#6003,T2
CHICKEN STOCK MARKET,Before & After,4/16/14,#6003,R1
POP MUSIC STAR BRUNO MARS,Show Biz,4/16/14,#6003,R2
THIS IS GOING TO MAKE A GREAT STORY,Phrase,4/16/14,#6003,R3*
POTATO PEELER,In the Kitchen,4/16/14,#6003,T3
MEETING MY DEADLINE,What Are You Doing?,4/16/14,#6003,R4
TOUCH FOOTBALL,Fun & Games,4/16/14,#6003,R5
HOURS OF OPERATION,Things,4/16/14,#6003,BR
BARBADOS,On the Map,4/17/14,#6004,T1
FRENCH PRESS COFFEE,Food & Drink,4/17/14,#6004,T2
LET'S GET THE BALL ROLLING,Phrase,4/17/14,#6004,R1
FOLLOW THE YELLOW BRICK ROAD HOG,Before & After,4/17/14,#6004,R2
WEST OF HAITI SOUTH OF CUBA,Place,4/17/14,#6004,R3*
COLD HARD CASH,Thing,4/17/14,#6004,T3
LIKE-MINDED INDIVIDUALS,People,4/17/14,#6004,R4
BREEZY DAY,Thing,4/17/14,#6004,BR
GETTING WARMED UP,What Are You Doing?,4/18/14,#6005,T1
QUICHE LORRAINE,Food & Drink,4/18/14,#6005,T2
HUNGRY LIKE THE WOLF BY DURAN DURAN,The 80's,4/18/14,#6005,R1
SOCIAL BUTTERFLY COLLECTION,Before & After,4/18/14,#6005,R2
PINCH ME I THINK I'M DREAMING,Phrase,4/18/14,#6005,R3*
BABY'S BREATH,Living Thing,4/18/14,#6005,T3
LIFETIME GUARANTEE,Thing,4/18/14,#6005,R4
DOWNRIGHT HILARIOUS,Phrase,4/18/14,#6005,BR
LOUISIANA,On the Map,4/21/14,#6006,T1
SYCAMORE TREE,Living Thing,4/21/14,#6006,T2
BUFFY THE VAMPIRE SLAYER,Title,4/21/14,#6006,R1
WE WILL SELL NO WINE BEFORE ITS TIME,TV Quote,4/21/14,#6006,R2
LET THE CELEBRATION BEGIN,Phrase,4/21/14,#6006,R3*
PETER COTTONTAIL,Character,4/21/14,#6006,T3
DOWNLOADING MUSIC,What Are You Doing?,4/21/14,#6006,R4
SCOOT OVER,Phrase,4/21/14,#6006,BR
SUSAN B. ANTHONY,Proper Name,4/22/14,#6007,T1
HUMAN PYRAMID,People,4/22/14,#6007,T2
DEPARTMENT STORE MANNEQUINS,Things,4/22/14,#6007,R1
YOU ARE THE SUNSHINE OF MY LIFE SAVINGS,Before & After,4/22/14,#6007,R2
EXPLORING THE COASTLINE IN A KAYAK,Fun & Games,4/22/14,#6007,R3*
LEGALLY BLONDE,Movie Title,4/22/14,#6007,T3
FRAGRANT WILDFLOWERS,Living Things,4/22/14,#6007,R4
HOBBYHORSE,Thing,4/22/14,#6007,BR
HUCKLEBERRY FINN,Character,4/23/14,#6008,T1
OVERDUE LIBRARY BOOKS,Things,4/23/14,#6008,T2
COMMENCEMENT AND CAR SPEAKERS,Same Name,4/23/14,#6008,R1
KEEP YOUR NOSE TO THE GRINDSTONE,Phrase,4/23/14,#6008,R2
WINDSURFING IN THE CARIBBEAN,Fun & Games,4/23/14,#6008,R3*
MAIN STREET,Place,4/23/14,#6008,T3
SAVING UP FOR A RAINY DAY,What Are You Doing?,4/23/14,#6008,R4
DIVERSE BACKGROUNDS,Phrase,4/23/14,#6008,BR
OFF TO A FLYING START,Phrase,4/24/14,#6009,T1
ATTITUDE ADJUSTMENT,Thing,4/24/14,#6009,T2
CSI: CRIME SCENE INVESTIGATION,TV Title,4/24/14,#6009,R1
AND TO THE REPUBLIC FOR WHICH IT STANDS,Quotation,4/24/14,#6009,R2
PACKING WATERPROOF SUNSCREEN,What Are You Doing?,4/24/14,#6009,R3*
TEN-PIECE BRASS BAND,Show Biz,4/24/14,#6009,T3
TELEVISION CRITIC,Occupation,4/24/14,#6009,R4
QUALIFIED APPLICANTS,People,4/24/14,#6009,BR
NEW HAMPSHIRE,On the Map,4/25/14,#6010,T1
BENDING THE RULES,What Are You Doing?,4/25/14,#6010,T2
STAINLESS STEEL COLANDER,In the Kitchen,4/25/14,#6010,R1
BLUE BABY BOOTIES,Same Letter,4/25/14,#6010,R2
A BOWL OF DELICIOUS GOULASH,Food & Drink,4/25/14,#6010,R3*
SPIRAL STAIRCASE,Thing,4/25/14,#6010,T3
CROSS-COUNTRY RUNNER,Person,4/25/14,#6010,R4
BEAUTY PAGEANT JUDGE,Person,4/25/14,#6010,BR
SIX THOUSAND SHOWS!,Things,4/28/14,#6011,T1
ACHY BREAKY HEART,The 90's,4/28/14,#6011,T2
EXTRA EXTRA READ ALL ABOUT IT,Phrase,4/28/14,#6011,R1
A PAT ON THE BACK TO THE FUTURE,Before & After,4/28/14,#6011,R2
BOOKING MY SHORE EXCURSION,What Are You Doing?,4/28/14,#6011,R3*
SHERLOCK HOLMES,Character,4/28/14,#6011,T3
PLAYING ALONG AT HOME,Fun & Games,4/28/14,#6011,R4
A SOPHOMORE,Person,4/28/14,#6011,BR
HISTORY IN THE MAKING,Phrase,4/29/14,#6012,T1
SECTIONAL SOFA,Around the House,4/29/14,#6012,T2
SOLVING A RUBIK'S CUBE,The 80's,4/29/14,#6012,R1
CHOCOLATE SUNDAE WITH A CHERRY ON TOP,Food & Drink,4/29/14,#6012,R2
BIG BEN AND THE EIFFEL TOWER,Landmarks,4/29/14,#6012,R3*
DONKEY KONG,Fun & Games,4/29/14,#6012,T3
BATMAN AND CATWOMAN,Characters,4/29/14,#6012,R4
WEIGHING MY OPTIONS,Phrase,4/29/14,#6012,BR
A SMASHING SUCCESS,Phrase,4/30/14,#6013,T1
SPACE INVADERS,Fun & Games,4/30/14,#6013,T2
BRUCE SPRINGSTEEN'S BORN IN THE U.S.A.,The 80's,4/30/14,#6013,R1
CREAM CHEESE COFFEE CAKE,Same Letter,4/30/14,#6013,R2
GUIDED TOUR OF ANCIENT RUINS,Event,4/30/14,#6013,R3*
